Province_State,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated,Report_Date_String,UID
,Mozambique,5/27/2021,393105,318548,74557,5/27/2021,508
,Namibia,5/27/2021,69765,63309,6456,5/27/2021,516
,Nepal,5/27/2021,2741964,2113080,628884,5/27/2021,524
,Netherlands,5/27/2021,8542731,6192212,2494044,5/27/2021,528
,New Zealand,5/27/2021,562149,371043,191106,5/27/2021,554
,Nicaragua,5/27/2021,167500,167500,0,5/27/2021,558
,Nigeria,5/27/2021,1939737,1930922,8815,5/27/2021,566
,North Macedonia,5/27/2021,267167,224336,42831,5/27/2021,807
,Norway,5/27/2021,2513951,1621203,892748,5/27/2021,578
,Oman,5/27/2021,296894,216549,80345,5/27/2021,512
,Pakistan,5/27/2021,5358808,4144175,1286429,5/27/2021,586
,Palau,5/27/2021,2373,,,5/27/2021,585
,Panama,5/27/2021,968604,627390,341214,5/27/2021,591
,Papua New Guinea,5/27/2021,11537,11537,0,5/27/2021,598
,Paraguay,5/27/2021,304725,252945,51780,5/27/2021,600
,Peru,5/27/2021,3498869,2341572,1033249,5/27/2021,604
,Philippines,5/27/2021,4495375,3466314,1029061,5/27/2021,608
,Poland,5/27/2021,18785240,13145222,6071067,5/27/2021,616
Dolnoslaskie,Poland,5/27/2021,1545339,,,5/27/2021,61601
Kujawsko-pomorskie,Poland,5/27/2021,958953,,,5/27/2021,61602
Lodzkie,Poland,5/27/2021,1248558,,,5/27/2021,61605
Lubelskie,Poland,5/27/2021,947341,,,5/27/2021,61603
Lubuskie,Poland,5/27/2021,519863,,,5/27/2021,61604
Malopolskie,Poland,5/27/2021,1521687,,,5/27/2021,61606
Mazowieckie,Poland,5/27/2021,2873467,,,5/27/2021,61607
Opolskie,Poland,5/27/2021,472553,,,5/27/2021,61608
Podkarpackie,Poland,5/27/2021,925137,,,5/27/2021,61609
Podlaskie,Poland,5/27/2021,605085,,,5/27/2021,61610
Pomorskie,Poland,5/27/2021,1244043,,,5/27/2021,61611
Slaskie,Poland,5/27/2021,2237465,,,5/27/2021,61612
Swietokrzyskie,Poland,5/27/2021,528619,,,5/27/2021,61613
Warminsko-mazurskie,Poland,5/27/2021,627099,,,5/27/2021,61614
Wielkopolskie,Poland,5/27/2021,1641164,,,5/27/2021,61615
Zachodniopomorskie,Poland,5/27/2021,888751,,,5/27/2021,61616
,Portugal,5/27/2021,5317986,3673808,1644155,5/27/2021,620
,Qatar,5/27/2021,2403165,1381456,1021709,5/27/2021,634
,Romania,5/27/2021,7526513,4208724,3404056,5/27/2021,642
,Russia,5/27/2021,27778561,16159658,11452201,5/27/2021,643
,Rwanda,5/27/2021,400096,350400,49696,5/27/2021,646
,Saint Kitts and Nevis,5/27/2021,21459,15619,5840,5/27/2021,659
,Saint Lucia,5/27/2021,45739,27588,18151,5/27/2021,662
,Saint Vincent and the Grenadines,5/27/2021,18417,18417,0,5/27/2021,670
,San Marino,5/27/2021,4244,21512,20936,5/27/2021,674
,Sao Tome and Principe,5/27/2021,14509,12374,2135,5/27/2021,678
,Saudi Arabia,5/27/2021,13401177,0,0,5/27/2021,682
,Senegal,5/27/2021,513332,444007,69325,5/27/2021,686
,Serbia,5/27/2021,4354888,2427733,1927155,5/27/2021,688
,Seychelles,5/27/2021,13216,70126,62035,5/27/2021,690
,Sierra Leone,5/27/2021,64966,58250,6716,5/27/2021,694
,Singapore,5/27/2021,3728869,2112450,1616419,5/27/2021,702
,Slovakia,5/27/2021,2435676,1653862,781814,5/27/2021,703
,Slovenia,5/27/2021,1007111,644506,362605,5/27/2021,705
,Solomon Islands,5/27/2021,16581,13102,3479,5/27/2021,90
,South Africa,5/27/2021,700904,642946,480665,5/27/2021,710
,South Sudan,5/27/2021,8606,8606,0,5/27/2021,728
,Spain,5/27/2021,25745178,17187731,8434233,5/27/2021,724
,Sri Lanka,5/27/2021,1786343,1443066,343277,5/27/2021,144
,Sudan,5/27/2021,290500,204838,85662,5/27/2021,729
,Suriname,5/27/2021,78542,66623,11919,5/27/2021,740
,Sweden,5/27/2021,4821805,3588871,1232934,5/27/2021,752
,Switzerland,5/27/2021,4261552,2764760,1496792,5/27/2021,756
,Syria,5/27/2021,2500,2500,0,5/27/2021,760
,Taiwan*,5/27/2021,325247,32389,0,5/27/2021,158
,Thailand,5/27/2021,3208882,2214721,994161,5/27/2021,764
,Togo,5/27/2021,304630,276000,28630,5/27/2021,768
,Trinidad and Tobago,5/27/2021,76765,75586,1179,5/27/2021,780
,Tunisia,5/27/2021,831824,560195,271629,5/27/2021,788
,Turkey,5/27/2021,28534966,16320454,12190879,5/27/2021,792
,US,5/27/2021,290724607,165718717,132769894,5/27/2021,840
,Uganda,5/27/2021,541569,537440,4129,5/27/2021,800
,Ukraine,5/27/2021,1099713,992189,107524,5/27/2021,804
,United Arab Emirates,5/27/2021,12531970,5081853,3836521,5/27/2021,784
,United Kingdom,5/27/2021,63114937,38378564,23616498,5/27/2021,826
Anguilla,United Kingdom,5/27/2021,13235,,,5/27/2021,660
Bermuda,United Kingdom,5/27/2021,68822,,,5/27/2021,60
Cayman Islands,United Kingdom,5/27/2021,79344,,,5/27/2021,136
England,United Kingdom,5/27/2021,52689008,,,5/27/2021,82601
Falkland Islands (Malvinas),United Kingdom,5/27/2021,4407,,,5/27/2021,238
Gibraltar,United Kingdom,5/27/2021,76189,,,5/27/2021,292
Isle of Man,United Kingdom,5/27/2021,86707,,,5/27/2021,833
Montserrat,United Kingdom,5/27/2021,2428,,,5/27/2021,500
Northern Ireland,United Kingdom,5/27/2021,1674026,,,5/27/2021,82602
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,5/27/2021,7091,,,5/27/2021,654
Scotland,United Kingdom,5/27/2021,5117092,,,5/27/2021,82603
Wales,United Kingdom,5/27/2021,3178513,,,5/27/2021,82604
,Uruguay,5/27/2021,2690449,1677887,989764,5/27/2021,858
,Uzbekistan,5/27/2021,1642744,1199354,443390,5/27/2021,860
,Venezuela,5/27/2021,316000,316000,0,5/27/2021,862
,Vietnam,5/27/2021,1034867,1005906,28961,5/27/2021,704
,Zambia,5/27/2021,145198,139912,5286,5/27/2021,894
,Zimbabwe,5/27/2021,927990,639553,288437,5/27/2021,716
